OBJECTID;REGION;DEPTO;GEOGRAPHIC;COD_DANE;TEXTO_AMENAZA;FECHA_EJECUCION;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;nivel_numero
136;ANDINA;ANTIOQUIA;ANORÍ;05040;Moderada;06/09/2026;23.7;120.6;25.0;2
137;ANDINA;ANTIOQUIA;APARTADÓ;05045;Moderada;06/09/2026;13.6;93.3;24.0;2
138;ANDINA;ANTIOQUIA;BARBOSA;05079;Moderada;06/09/2026;7.8;192.9;22.0;2
139;ANDINA;ANTIOQUIA;BETANIA;05091;Moderada;06/09/2026;37.1;72.2;18.0;2
140;ANDINA;ANTIOQUIA;CAROLINA;05150;Moderada;06/09/2026;18.9;133.6;24.0;2
141;ANDINA;ANTIOQUIA;CISNEROS;05190;Moderada;06/09/2026;19.4;212.6;26.0;2
142;ANDINA;ANTIOQUIA;CONCEPCIÓN;05206;Moderada;06/09/2026;7.0;141.8;25.0;2
143;ANDINA;ANTIOQUIA;CÁCERES;05120;Moderada;06/09/2026;26.8;187.2;20.0;2
144;ANDINA;ANTIOQUIA;DONMATÍAS;05237;Moderada;06/09/2026;8.0;161.0;19.0;2
145;ANDINA;ANTIOQUIA;EL BAGRE;05250;Moderada;06/09/2026;29.2;126.5;20.0;2
146;ANDINA;ANTIOQUIA;ITUANGO;05361;Moderada;06/09/2026;24.7;105.8;23.0;2
147;ANDINA;ANTIOQUIA;MUTATÁ;05480;Moderada;06/09/2026;36.5;110.5;23.0;2
148;ANDINA;ANTIOQUIA;NECHÍ;05495;Moderada;06/09/2026;35.3;129.8;20.0;2
149;ANDINA;ANTIOQUIA;NECOCLÍ;05490;Moderada;06/09/2026;65.2;113.2;21.0;2
150;ANDINA;ANTIOQUIA;SANTA ROSA DE OSOS;05686;Moderada;06/09/2026;12.7;116.7;21.0;2
151;ANDINA;ANTIOQUIA;SANTO DOMINGO;05690;Moderada;06/09/2026;24.7;191.6;25.0;2
152;ANDINA;ANTIOQUIA;SEGOVIA;05736;Moderada;06/09/2026;14.6;100.4;24.0;2
153;ANDINA;ANTIOQUIA;TURBO;05837;Moderada;06/09/2026;31.7;108.6;23.0;2
154;ANDINA;ANTIOQUIA;URRAO;05847;Moderada;06/09/2026;15.6;68.4;16.0;2
155;ANDINA;ANTIOQUIA;VIGÍA DEL FUERTE;05873;Moderada;06/09/2026;37.7;138.2;22.0;2
156;CARIBE;BOLÍVAR;MONTECRISTO;13458;Moderada;06/09/2026;34.8;99.4;19.0;2
157;CARIBE;BOLÍVAR;SANTA ROSA DEL SUR;13688;Moderada;06/09/2026;42.5;75.2;18.0;2
158;ANDINA;BOYACÁ;ALMEIDA;15022;Moderada;06/09/2026;14.0;130.0;28.0;2
159;ANDINA;BOYACÁ;AQUITANIA;15047;Moderada;06/09/2026;15.5;86.3;30.0;2
160;ANDINA;BOYACÁ;CAMPOHERMOSO;15135;Moderada;06/09/2026;20.3;107.1;30.0;2
161;ANDINA;BOYACÁ;CHITA;15183;Moderada;06/09/2026;11.7;27.4;21.0;2
162;ANDINA;BOYACÁ;CHIVOR;15236;Moderada;06/09/2026;11.2;165.0;29.0;2
163;ANDINA;BOYACÁ;GÜICÁN DE LA SIERRA;15332;Moderada;06/09/2026;18.5;37.4;22.0;2
164;ANDINA;BOYACÁ;LABRANZAGRANDE;15377;Moderada;06/09/2026;19.6;158.8;30.0;2
165;ANDINA;BOYACÁ;MONGUA;15464;Moderada;06/09/2026;17.3;78.9;30.0;2
166;ANDINA;BOYACÁ;PAJARITO;15518;Moderada;06/09/2026;27.3;160.5;30.0;2
167;ANDINA;BOYACÁ;PISBA;15550;Moderada;06/09/2026;38.2;132.7;27.0;2
168;ANDINA;BOYACÁ;PÁEZ;15514;Moderada;06/09/2026;26.5;109.3;30.0;2
169;ANDINA;BOYACÁ;SAN LUIS DE GACENO;15667;Moderada;06/09/2026;12.0;106.7;28.0;2
170;AMAZONÍA;CAQUETÁ;BELÉN DE LOS ANDAQUÍES;18094;Moderada;06/09/2026;26.0;123.5;26.0;2
171;AMAZONÍA;CAQUETÁ;EL PAUJÍL;18256;Moderada;06/09/2026;17.6;141.9;26.0;2
172;AMAZONÍA;CAQUETÁ;FLORENCIA;18001;Moderada;06/09/2026;14.3;96.0;24.0;2
173;AMAZONÍA;CAQUETÁ;LA MONTAÑITA;18410;Moderada;06/09/2026;19.5;142.8;27.0;2
174;AMAZONÍA;CAQUETÁ;MORELIA;18479;Moderada;06/09/2026;12.8;101.5;27.0;2
175;AMAZONÍA;CAQUETÁ;SAN JOSÉ DEL FRAGUA;18610;Moderada;06/09/2026;15.2;123.3;26.0;2
176;ORINOQUÍA;CASANARE;AGUAZUL;85010;Moderada;06/09/2026;24.4;162.3;28.0;2
177;ORINOQUÍA;CASANARE;CHÁMEZA;85015;Moderada;06/09/2026;29.2;54.4;30.0;2
178;ORINOQUÍA;CASANARE;NUNCHÍA;85225;Moderada;06/09/2026;17.2;74.9;25.0;2
179;ORINOQUÍA;CASANARE;PAZ DE ARIPORO;85250;Moderada;06/09/2026;17.6;126.4;26.0;2
180;ORINOQUÍA;CASANARE;PORE;85263;Moderada;06/09/2026;16.0;76.0;26.0;2
181;ORINOQUÍA;CASANARE;RECETOR;85279;Moderada;06/09/2026;27.4;97.1;30.0;2
182;ORINOQUÍA;CASANARE;SABANALARGA;85300;Moderada;06/09/2026;17.2;138.0;28.0;2
183;ORINOQUÍA;CASANARE;SÁCAMA;85315;Moderada;06/09/2026;31.7;78.7;24.0;2
184;ORINOQUÍA;CASANARE;TAURAMENA;85410;Moderada;06/09/2026;24.4;103.4;25.0;2
185;PACÍFICO;CAUCA;ARGELIA;19050;Moderada;06/09/2026;30.6;42.9;12.0;2
186;PACÍFICO;CAUCA;PIAMONTE;19533;Moderada;06/09/2026;8.1;63.7;26.0;2
187;PACÍFICO;CHOCÓ;ACANDÍ;27006;Moderada;06/09/2026;43.9;109.0;23.0;2
188;PACÍFICO;CHOCÓ;CARMEN DEL DARIÉN;27150;Moderada;06/09/2026;42.8;111.0;22.0;2
189;PACÍFICO;CHOCÓ;EL LITORAL DEL SAN JUAN;27250;Moderada;06/09/2026;50.0;84.4;24.0;2
190;PACÍFICO;CHOCÓ;JURADÓ;27372;Moderada;06/09/2026;33.2;129.3;24.0;2
191;PACÍFICO;CHOCÓ;RIOSUCIO;27615;Moderada;06/09/2026;31.1;113.7;24.0;2
192;PACÍFICO;CHOCÓ;UNGUÍA;27800;Moderada;06/09/2026;30.1;106.3;23.0;2
193;ANDINA;CUNDINAMARCA;FOSCA;25281;Moderada;06/09/2026;3.8;102.1;27.0;2
